,tweet_id,tweet,sentiment,tweet_ts
0,1701, sxswnui  sxsw  apple defining language of touch with different dialects becoming smaller,1,sxswnui sxsw appl defin languag of touch with differ dialect becom smaller
1,1851,learning ab google doodles  all doodles should be light  funny   innovative  with exceptions for significant occasions   googledoodle  sxsw,1,learn ab googl doodl all doodl should be light funni innov with except for signific occas googledoodl sxsw
2,2689,one of the most in your face ex  of stealing the show in yrs rt    at  sxsw  apple schools the mkt experts    ,2,one of the most in your face ex of steal the show in yr rt at sxsw appl school the mkt expert
3,4525,this iphone  sxsw app would b pretty awesome if it didnt crash every 10mins during extended browsing   fuckit  illmakeitwork,0,thi iphon sxsw app would b pretti awesom if it didnt crash everi 10min dure extend brows fuckit illmakeitwork
4,3604,line outside the apple store in austin waiting for the new ipad  sxsw   ,1,line outsid the appl store in austin wait for the new ipad sxsw
5,966, technews one lone dude awaits ipad 2 at apple   s sxsw store    tech news  apple  ipad 2  sxsw  tablets  tech,1,technew one lone dude await ipad 2 at appl s sxsw store tech news appl ipad 2 sxsw tablet tech
6,1395,sxsw tips  prince  npr videos  toy shopping with zuckerberg       sxsw   ipad,1,sxsw tip princ npr video toy shop with zuckerberg sxsw ipad
7,8182,nu user rt   new  ubersocial for  iphone now in the app store includes uberguide to  sxsw sponsored by  mashable,1,nu user rt new ubersoci for iphon now in the app store includ uberguid to sxsw sponsor by mashabl
8,8835,free  sxsw sampler on itunes    freemusic,2,free sxsw sampler on itun freemus
9,883,i think i might go all weekend without seeing the same ipad case twice     sxsw,2,i think i might go all weekend without see the same ipad case twice sxsw
10,6398,    official  sxsw app    sxsw go       android  iphone  ipad,3,offici sxsw app sxsw go android iphon ipad
11,2369,it  official  i m buying an ipad   sxsw  elevate,2,it offici i m buy an ipad sxsw elev
12,3944,they re giving away ipad 2   x boxes and books at    sxsw  techenvy,2,they re give away ipad 2 x box and book at sxsw techenvi
13,6909,    we re officially at  sxsw  come by the   grill  mention us w   zazzlsxsw and you   ll get to make your own iphone case ,1,we re offici at sxsw come by the grill mention us w zazzlsxsw and you ll get to make your own iphon case
